期刊名称,预警年份,预警来源
ACTA MEDICA MEDITERRANEA,2020；2023,中科院预警
Advances in Civil Engineering,2020；2021,中科院预警
Advances in Difference Equations,2020,中科院预警
AEROSPACE,2023,中科院预警
Aging-US,2020；2021,中科院预警
Agronomy-Basel,2020,中科院预警
AIMS Mathematics,2021,中科院预警
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,2024,中科院预警
American Journal of Cancer Research,2020,中科院预警
AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH,2020；2023,中科院预警
Annals of Palliative Medicine,2021,中科院预警
Applied Sciences-Basel,2020,中科院预警
Artificial Cells Nanomedicine and Biotechnology,2020,中科院预警
Atmosphere,2020,中科院预警
BIOENGINEERED,2024,中科院预警
BioFactors,2020；2021,中科院预警
Biology-Basel,2021,中科院预警
Biomed Research International,2020,中科院预警
BIOMEDICINE & PHARMACOTHERAPY,2020,中科院预警
Biomedicines,2021,中科院预警
BIOSCIENCE REPORTS,2020,中科院预警
Boundary Value Problems,2020,中科院预警
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,2020,中科院预警
BUILDINGS,2023,中科院预警
Cancer Biomarkers,2020,中科院预警
Cancer Cell International,2021,中科院预警
Cancer Management and Research,2021,中科院预警
CANCERS,2024,中科院预警
Catalysts,2020,中科院预警
Cells,2020,中科院预警
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,2024,中科院预警
Coatings,2020,中科院预警
Complexity,2020；2021,中科院预警
COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE,2023,中科院预警
Computers & Electrical Engineering,2025,中科院预警
CONNECTION SCIENCE,2024,中科院预警
Desalination and Water Treatment,2020,中科院预警
Diagnostics,2021；2024,中科院预警
Discrete Dynamics in Nature and Society,2021,中科院预警
ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,2023,中科院预警
Electronics,2020,中科院预警
Energies,2020,中科院预警
ENERGY REPORTS,2023,中科院预警
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2024,中科院预警
European Review for Medical and Pharmacological Sciences,2020,中科院预警
Experimental and Molecular Pathology,2020；2021,中科院预警
EXPERIMENTAL AND THERAPEUTIC MEDICINE,2020；2024,中科院预警
FOOD SCIENCE AND TECHNOLOGY,2023,中科院预警
Frontiers in Cell and Developmental Biology,2021,中科院预警
FRONTIERS IN EARTH SCIENCE,2023,中科院预警
FRONTIERS IN ENERGY RESEARCH,2024,中科院预警
FRONTIERS IN ENVIRONMENTAL SCIENCE,2023,中科院预警
Frontiers in Medicine,2021,中科院预警
Frontiers in Molecular Biosciences,2021,中科院预警
FRONTIERS IN SURGERY,2023,中科院预警
FUEL,2024,中科院预警
GEOFLUIDS,2023,中科院预警
Healthcare,2021,中科院预警
IEEE Access,2020,中科院预警
INORGANIC AND NANO-METAL CHEMISTRY,2023,中科院预警
International Journal of Clinical and Experimental Medicine,2020,中科院预警
International Journal of Clinical and Experimental Pathology,2020,中科院预警
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2023,中科院预警
INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,2020；2023,中科院预警
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,2020,中科院预警
International Journal of Environmental Research and Public Health,2020,中科院预警
International Journal of General Medicine,2021,中科院预警
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,2020,中科院预警
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,2020,中科院预警
JOURNAL OF BIOBASED MATERIALS AND BIOENERGY,2024,中科院预警
JOURNAL OF BIOMATERIALS AND TISSUE ENGINEERING,2020；2023；2024,中科院预警
JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,2024,中科院预警
Journal of Cancer,2021,中科院预警
Journal of Cellular and Molecular Medicine,2021,中科院预警
JOURNAL OF CELLULAR BIOCHEMISTRY,2020,中科院预警
JOURNAL OF CELLULAR PHYSIOLOGY,2020,中科院预警
JOURNAL OF CLINICAL LABORATORY ANALYSIS,2023,中科院预警
